Variable,Bin id,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Coefficient,Points
days_last_phone_change,4,"[-1122.50, -956.50)",9265,0.05021516915439064,8527,738,0.07965461413923368,0.014567060561675227,1.059075064125617e-05,1.3238321253392971e-06,-0.13483933629740624,11.74394061152756
days_last_phone_change,5,"[-956.50, -713.50)",16661,0.09030058643079358,15251,1410,0.08462877378308625,-0.051426623295932394,0.00024402556698321763,3.0499834995316184e-05,-0.13483933629740624,11.48718289020228
days_last_phone_change,6,"[-713.50, -596.50)",10179,0.055168937595525346,9232,947,0.0930346792415758,-0.1553500980180993,0.001421134932099815,0.00017746345065375053,-0.13483933629740624,11.082853975643697
days_last_phone_change,7,"[-596.50, -347.50)",24722,0.1339902225401884,22411,2311,0.09347949195048945,-0.16061041511869467,0.0036974084307277145,0.00046167993710998726,-0.13483933629740624,11.062387971122545
days_last_phone_change,8,"[-347.50, inf)",53711,0.29110706426891264,48546,5165,0.09616279719238145,-0.19187529409774617,0.011616324898038958,0.0014498172663949174,-0.13483933629740624,10.940747556238408
days_last_phone_change,9,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.13483933629740624,11.687265410847852
days_last_phone_change,10,Missing,1,5.419877944348693e-06,1,0,0.0,0.0,0.0,0.0,-0.13483933629740624,11.687265410847852
name_education_type,0,['Academic degree' 'Higher education'],45004,0.2439161870074686,42584,2420,0.05377299795573727,0.4352290621219592,0.03856042183499364,0.004782366290830384,-0.431047260954476,17.100381135098612
name_education_type,1,['Secondary / secondary special' 'Incomplete higher' 'Lower secondary'],139502,0.7560838129925314,127027,12475,0.08942524121517971,-0.11180897292953906,0.009906050712882503,0.0012376117525143594,-0.431047260954476,10.296653059442841
name_education_type,2,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.431047260954476,11.687265410847852
name_education_type,3,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.431047260954476,11.687265410847852
prev_credit_to_application_ratio,0,"(-inf, 0.88)",9310,0.050459063661886336,8788,522,0.0560687432867884,0.3909928520419599,0.006555917916711525,0.0008143093232176111,-0.4426346889867237,16.68092344808653
prev_credit_to_application_ratio,1,"[0.88, 0.94)",12343,0.06689755346709592,11536,807,0.06538118771773475,0.22742219767487937,0.0031464320045561465,0.0003924586022545722,-0.4426346889867237,14.591842001787088
prev_credit_to_application_ratio,2,"[0.94, 0.99)",19132,0.1036931048312792,17775,1357,0.070928287685553,0.14003460125667067,0.0019176660373856384,0.0002395125879889157,-0.4426346889867237,13.475750567046672
prev_credit_to_application_ratio,3,"[0.99, 1.07)",54167,0.29357852861153566,50201,3966,0.07321801096608636,0.10579492314049554,0.003143528847286364,0.0003927579576029367,-0.4426346889867237,13.038450388988803
prev_credit_to_application_ratio,4,"[1.07, 1.09)",13611,0.07376995870053006,12532,1079,0.07927411652340019,0.01976869323404573,2.8591480910629886e-05,3.5738769192055863e-06,-0.4426346889867237,11.939745969861509
prev_credit_to_application_ratio,5,"[1.09, 1.10)",9276,0.05027478781177848,8422,854,0.0920655454937473,-0.14381057864659885,0.0011044476607377895,0.0001379371137317255,-0.4426346889867237,9.85055446294166
prev_credit_to_application_ratio,6,"[1.10, 1.12)",10426,0.056507647447779474,9437,989,0.09485900633032802,-0.17678291318128103,0.0019020144628826708,0.00023744269638274014,-0.4426346889867237,9.429440464320612
prev_credit_to_application_ratio,7,"[1.12, 1.15)",11311,0.06130423942852807,10097,1214,0.10732914861639112,-0.3141643361950246,0.006903297358401188,0.0008593808918080465,-0.4426346889867237,7.674841003954404
prev_credit_to_application_ratio,8,"[1.15, 1.22)",12178,0.06600327360627839,10815,1363,0.11192314008868451,-0.3612360868892752,0.010022012661066481,0.0012459843221753674,-0.4426346889867237,7.073652964445143
prev_credit_to_application_ratio,9,"[1.22, 1.38)",9226,0.05000379391456104,8170,1056,0.11445913722089747,-0.38650126999206025,0.008784102592727966,0.0010912291034110306,-0.4426346889867237,6.750972680126315
prev_credit_to_application_ratio,10,"[1.38, inf)",13018,0.0705559710795313,11981,1037,0.0796589337839914,0.01450813883046953,1.4761002899087845e-05,1.8451091803423861e-06,-0.4426346889867237,11.872559550364176
